loan_id,user_id,loan_amount,origination_date,term_months
332,7550,15000,2024-04-05,12
333,4478,25000,2024-10-04,24
334,4721,10000,2024-02-18,24
335,1714,25000,2024-03-29,24
336,6620,25000,2024-01-06,24
337,2513,10000,2024-05-25,12
338,4590,5000,2024-01-12,24
339,6679,25000,2024-01-28,12
340,2679,15000,2024-10-01,12
341,282,5000,2024-02-12,24
342,4927,25000,2024-04-08,12
343,430,15000,2024-05-22,36
344,4659,15000,2024-10-18,24
345,5163,10000,2024-04-06,24
346,8106,5000,2024-03-25,36
347,3213,5000,2024-10-24,24
348,4633,10000,2024-03-31,12
349,2664,25000,2024-10-27,12
350,9128,25000,2024-01-30,12
351,1689,15000,2024-10-21,24
352,5595,15000,2024-06-22,36
353,5936,15000,2024-07-04,36
354,9075,15000,2024-01-30,24
355,817,10000,2024-09-07,12
356,3867,25000,2024-04-18,12
357,6189,15000,2024-07-31,24
358,678,5000,2024-08-05,24
359,2490,15000,2024-12-09,12
360,7233,15000,2024-06-30,24
361,2447,25000,2024-12-07,36
362,1889,15000,2024-02-06,36
363,1721,10000,2024-12-11,24
364,224,25000,2024-05-29,12
365,935,25000,2024-04-06,36
366,9505,15000,2024-01-24,24
367,1309,10000,2024-11-20,12
368,8418,25000,2024-12-09,24
369,200,5000,2024-12-20,24
370,4107,15000,2024-05-01,24
371,5075,25000,2024-03-26,24
372,3994,15000,2024-06-09,24
373,7073,5000,2024-01-17,12
374,3934,15000,2024-08-31,36
375,6934,15000,2024-09-24,12
376,1598,10000,2024-10-12,36
377,5,10000,2024-08-05,24
378,8472,5000,2024-01-06,24
379,7591,10000,2024-09-23,12
380,3020,25000,2024-08-22,12
381,5358,10000,2024-05-03,36
382,2365,25000,2024-02-29,24
383,127,5000,2024-01-10,12
384,4827,5000,2024-01-16,24
385,3250,15000,2024-03-24,24
386,3902,25000,2024-06-20,24
387,5158,15000,2024-05-26,36
388,8675,15000,2024-04-09,24
389,3040,15000,2024-09-27,36
390,4411,25000,2024-08-02,12
391,9700,10000,2024-03-25,12
392,9131,25000,2024-02-08,24
393,17,10000,2024-01-05,24
394,8005,25000,2024-03-26,36
395,7084,5000,2024-10-13,24
396,5076,5000,2024-07-25,24
397,3943,10000,2024-02-07,24
398,6173,15000,2024-09-12,36
399,3618,15000,2024-06-28,36
400,9226,15000,2024-01-19,24
401,6231,15000,2024-06-11,24
402,8662,25000,2024-07-20,12
403,1325,5000,2024-09-27,36
404,3278,25000,2024-03-28,12
405,1625,25000,2024-06-23,24
406,7250,25000,2024-08-30,24
407,9428,10000,2024-05-27,24
408,119,5000,2024-09-21,24
409,7304,10000,2024-01-05,36
410,7941,15000,2024-05-18,24
411,8980,5000,2024-04-12,12
412,6521,10000,2024-12-12,12
413,2476,10000,2024-09-14,12
414,2768,25000,2024-06-28,36
415,9620,10000,2024-09-02,12
416,243,10000,2024-05-27,36
417,5081,15000,2024-01-21,36
418,5465,15000,2024-11-02,24
419,4723,10000,2024-06-06,36
420,8208,10000,2024-06-24,36
421,4612,10000,2024-09-13,36
422,6410,25000,2024-09-21,24
423,8115,25000,2024-04-22,24
424,6704,25000,2024-06-16,24
425,2783,15000,2024-01-21,12
426,6860,5000,2024-03-20,12
427,6164,25000,2024-08-15,36
428,1824,25000,2024-02-06,12
429,4924,10000,2024-03-31,24
430,8203,25000,2024-11-22,12
431,5140,5000,2024-05-31,24
432,8471,15000,2024-06-26,12
433,5667,25000,2024-06-30,24
434,5521,15000,2024-04-19,12
435,6922,25000,2024-12-25,36
436,2086,15000,2024-04-18,12
437,5070,15000,2024-06-04,12
438,1107,25000,2024-09-16,36
439,8224,25000,2024-03-07,36
440,8929,15000,2024-09-16,24
441,1849,5000,2024-09-27,36
442,3609,5000,2024-02-06,12
443,8108,5000,2024-09-26,24
444,2678,5000,2024-05-02,12
445,294,25000,2024-08-11,24
446,3197,10000,2024-07-13,24
447,1572,15000,2024-03-22,36
448,6567,5000,2024-02-19,12
449,269,5000,2024-03-18,24
450,7074,10000,2024-01-25,24
451,9340,10000,2024-10-21,24
452,3343,25000,2024-01-26,24
453,5178,15000,2024-02-29,36
454,880,15000,2024-11-03,36
455,59,10000,2024-03-10,12
456,3892,10000,2024-06-02,24
457,217,10000,2024-02-17,12
458,5701,25000,2024-02-23,12
459,7650,15000,2024-04-23,36
460,6247,10000,2024-10-03,24
461,7979,5000,2024-04-19,36
462,6385,15000,2024-03-12,24
463,4957,15000,2024-01-18,24
464,734,5000,2024-01-15,12
465,5951,5000,2024-02-11,12
466,5349,15000,2024-01-20,36
467,5572,15000,2024-01-16,36
468,7075,10000,2024-05-14,24
469,2422,25000,2024-08-08,12
470,3378,25000,2024-04-04,12
471,8566,10000,2024-04-02,24
472,7105,5000,2024-03-21,36
473,6784,5000,2024-03-18,24
474,112,5000,2024-12-16,12
475,8486,5000,2024-05-25,36
476,2470,10000,2024-11-15,24
477,2199,15000,2024-01-26,12
478,5294,10000,2024-07-15,36
479,7582,5000,2024-05-23,24
480,8360,10000,2024-03-17,36
481,70,25000,2024-11-09,24
482,5957,25000,2024-12-17,12
483,9618,5000,2024-07-19,24
484,6075,10000,2024-10-29,24
485,2573,25000,2024-11-22,12
486,1655,15000,2024-05-02,36
487,2260,5000,2024-06-26,36
488,102,10000,2024-10-28,12
489,5909,5000,2024-01-08,12
490,9924,25000,2024-01-02,36
491,5709,15000,2024-05-25,12
492,1362,25000,2024-02-05,36
493,8525,5000,2024-03-28,12
494,3261,15000,2024-04-28,12
495,1123,10000,2024-02-11,12
496,1958,25000,2024-12-23,12
497,8652,15000,2024-05-18,12
498,9410,5000,2024-02-28,12
499,6699,10000,2024-06-28,36
500,4986,5000,2024-07-20,12
501,6780,5000,2024-08-08,24
502,931,10000,2024-02-18,36
503,8503,15000,2024-12-25,24
504,2890,15000,2024-08-27,12
505,5960,10000,2024-05-07,36
506,7140,10000,2024-11-25,24
507,1759,5000,2024-10-12,12
508,8082,5000,2024-01-28,36
509,4342,25000,2024-04-02,12
510,8147,10000,2024-06-27,24
511,472,25000,2024-08-04,36
512,4418,10000,2024-01-27,36
513,3181,25000,2024-05-06,36
514,7817,5000,2024-04-07,36
515,1145,5000,2024-11-03,36
516,99,15000,2024-10-26,24
517,3650,25000,2024-02-17,36
518,494,10000,2024-12-19,36
519,2158,25000,2024-09-28,12
520,4580,5000,2024-07-06,36
521,2178,15000,2024-10-29,24
522,9616,25000,2024-04-19,24
523,8698,5000,2024-11-26,24
524,6913,10000,2024-01-15,12
525,8553,15000,2024-04-11,36
526,8346,5000,2024-04-03,24
527,8108,10000,2024-07-02,36
528,533,25000,2024-08-06,24
529,5667,10000,2024-05-08,24
530,2358,10000,2024-06-01,24
531,6780,10000,2024-11-15,12
532,1970,15000,2024-04-01,36
533,4972,5000,2024-02-12,36
534,7172,5000,2024-09-26,36
535,635,10000,2024-09-04,36
536,2602,25000,2024-03-08,24
537,1193,25000,2024-09-26,36
538,8929,5000,2024-07-26,12
539,9401,25000,2024-08-13,12
540,5805,10000,2024-07-23,12
541,608,5000,2024-05-24,36
542,6422,5000,2024-04-01,12
543,5259,25000,2024-05-17,24
544,3066,5000,2024-01-17,12
545,7867,15000,2024-01-02,36
546,7254,10000,2024-09-06,24
547,4327,15000,2024-11-16,12
548,5571,5000,2024-04-28,36
549,2038,25000,2024-07-15,36
550,2186,15000,2024-12-20,36
551,9189,15000,2024-08-01,24
552,7506,15000,2024-04-16,36
553,1180,25000,2024-07-26,12
554,4703,25000,2024-04-26,12
555,6936,5000,2024-01-09,12
556,9525,25000,2024-05-21,36
557,2745,15000,2024-11-25,36
558,2261,5000,2024-01-22,12
559,6121,25000,2024-09-28,24
560,3499,10000,2024-06-17,24
561,3414,25000,2024-07-13,24
562,5479,25000,2024-04-03,24
563,5799,5000,2024-07-11,36
564,8098,5000,2024-12-07,24
565,206,5000,2024-10-14,12
566,5381,10000,2024-06-28,36
567,1810,10000,2024-09-23,36
568,9092,25000,2024-01-20,12
569,8940,25000,2024-12-05,12
570,6943,5000,2024-08-12,24
571,9954,5000,2024-06-17,36
572,2297,10000,2024-11-18,24
573,4929,10000,2024-02-13,24
574,9924,5000,2024-07-06,36
575,5150,25000,2024-04-04,12
576,3999,10000,2024-12-27,36
577,5935,5000,2024-05-14,12
578,939,5000,2024-04-03,12
579,5251,5000,2024-02-23,24
580,4556,10000,2024-03-22,24
581,6539,25000,2024-09-25,24
582,7696,10000,2024-10-15,36
583,6557,25000,2024-05-14,36
584,2165,10000,2024-06-06,12
585,5269,5000,2024-09-23,12
586,6253,5000,2024-11-21,36
587,6122,15000,2024-10-03,36
588,2874,5000,2024-10-14,12
589,1451,25000,2024-05-12,12
590,5106,5000,2024-12-27,36
591,5637,15000,2024-12-14,24
592,1204,5000,2024-02-04,36
593,7053,5000,2024-09-07,24
594,4492,10000,2024-02-16,24
595,3025,25000,2024-09-24,36
596,6145,15000,2024-10-19,12
597,2056,10000,2024-02-13,24
598,2192,15000,2024-10-04,36
599,9871,5000,2024-05-18,24
600,7833,15000,2024-12-08,24
601,9858,10000,2024-11-06,12
602,4729,5000,2024-08-24,24
603,5691,10000,2024-09-22,36
604,4825,25000,2024-06-18,24
605,3012,25000,2024-08-03,36
606,7620,25000,2024-04-26,24
607,8436,15000,2024-08-25,12
608,8332,25000,2024-09-12,12
609,2449,15000,2024-08-31,24
610,725,15000,2024-12-01,12
611,9757,10000,2024-11-27,24
612,104,5000,2024-03-28,24
613,4048,5000,2024-08-21,12
614,63,10000,2024-04-06,12
615,2063,25000,2024-01-18,24
616,3566,10000,2024-04-20,36
617,9739,10000,2024-07-27,36
618,6585,5000,2024-12-06,12
619,6669,15000,2024-03-05,12
620,4823,10000,2024-05-02,36
621,4834,10000,2024-08-25,36
622,3647,15000,2024-12-29,24
623,9983,5000,2024-05-02,12
624,130,25000,2024-10-13,24
625,3016,10000,2024-08-05,24
626,7670,25000,2024-08-09,36
627,5291,25000,2024-12-10,24
628,927,10000,2024-04-22,12
629,1981,25000,2024-01-18,12
630,5526,10000,2024-08-06,12
631,9918,15000,2024-06-09,24
632,1820,15000,2024-03-10,24
633,5108,15000,2024-01-07,12
634,4784,15000,2024-01-01,36
635,2896,5000,2024-12-23,36
636,1757,15000,2024-04-08,12
637,2328,10000,2024-03-27,24
638,3197,10000,2024-03-20,24
639,3654,10000,2024-11-10,24
640,6255,25000,2024-02-03,24
641,4260,10000,2024-08-13,12
642,415,5000,2024-08-10,24
643,6338,5000,2024-06-28,12
644,8147,5000,2024-01-08,12
645,2871,5000,2024-08-30,24
646,9215,5000,2024-03-28,36
647,6253,5000,2024-11-04,24
648,399,15000,2024-05-22,36
649,3971,5000,2024-01-28,36
650,8321,25000,2024-05-21,12
651,9725,5000,2024-03-30,36
652,6571,10000,2024-07-04,36
653,1051,10000,2024-11-08,12
654,2953,25000,2024-06-28,24
655,344,5000,2024-02-06,36
656,9617,15000,2024-01-02,24
657,604,15000,2024-02-03,12
658,9783,15000,2024-11-09,36
659,7037,15000,2024-08-13,12
660,4829,5000,2024-03-13,12
661,5933,25000,2024-12-29,12
662,4252,15000,2024-04-25,36
663,6584,5000,2024-04-23,12
664,2149,5000,2024-01-30,24
665,6045,5000,2024-03-23,12
666,748,5000,2024-07-26,36
667,8692,5000,2024-04-16,36
668,3357,10000,2024-11-10,36
669,5189,5000,2024-07-04,24
670,5899,5000,2024-05-31,36
671,386,5000,2024-05-29,24
672,4234,10000,2024-06-08,12
673,6247,10000,2024-03-15,24
674,1736,25000,2024-12-14,12
675,2558,25000,2024-06-18,12
676,4823,5000,2024-07-05,12
677,1179,15000,2024-12-09,36
678,880,5000,2024-12-04,24
679,1506,25000,2024-11-06,36
680,5329,15000,2024-06-17,36
681,1007,15000,2024-11-08,24
682,5298,25000,2024-02-22,12
683,3658,5000,2024-09-13,24
684,5110,25000,2024-02-29,36
685,273,15000,2024-08-09,24
686,2896,10000,2024-03-16,12
687,3096,5000,2024-02-15,36
688,1607,25000,2024-09-16,24
689,2448,25000,2024-01-15,12
690,6497,25000,2024-12-02,36
691,1325,10000,2024-04-25,36
692,3903,10000,2024-01-12,12
693,7211,5000,2024-01-01,24
694,3123,5000,2024-03-17,12
695,4867,5000,2024-01-30,36
696,1730,25000,2024-07-20,12
697,5355,10000,2024-11-24,36
698,4586,5000,2024-02-19,12
699,2723,10000,2024-05-09,24
700,4677,15000,2024-01-06,12
701,2895,5000,2024-03-15,36
702,7649,10000,2024-12-11,24
703,1962,5000,2024-12-13,36
704,6569,10000,2024-11-28,24
705,4863,10000,2024-06-14,36
706,2676,25000,2024-11-27,36
707,1940,15000,2024-12-04,36
708,14,5000,2024-09-30,24
709,746,10000,2024-06-04,36
710,8163,5000,2024-09-24,12
711,4571,10000,2024-11-03,36
712,7710,15000,2024-07-23,36
713,2947,10000,2024-08-31,24
714,3183,10000,2024-03-27,36
715,3487,5000,2024-04-09,36
716,6565,15000,2024-07-04,36
717,4507,10000,2024-08-09,36
718,4079,5000,2024-10-04,36
719,1908,10000,2024-12-23,12
720,3992,5000,2024-06-21,12
721,1648,15000,2024-11-13,24
722,4777,25000,2024-02-11,24
723,2664,15000,2024-03-07,12
724,8128,5000,2024-07-10,24
725,1883,15000,2024-05-22,12
726,329,5000,2024-06-02,12
727,4368,5000,2024-04-03,24
728,4718,15000,2024-07-15,24
729,9880,25000,2024-04-04,36
730,5601,15000,2024-09-05,12
731,2167,5000,2024-01-22,12
732,382,25000,2024-02-23,12
733,9626,5000,2024-05-04,24
734,4145,25000,2024-11-09,12
735,3882,15000,2024-07-25,12
736,8109,15000,2024-06-29,24
737,6748,5000,2024-12-20,12
738,2200,25000,2024-10-01,12
739,3533,5000,2024-06-10,36
740,2730,25000,2024-10-04,36
741,8788,5000,2024-05-20,36
742,8039,15000,2024-05-02,12
743,3911,10000,2024-07-10,36
744,3497,5000,2024-02-25,24
745,7503,10000,2024-10-24,36
746,3801,15000,2024-09-03,24
747,8163,10000,2024-11-17,24
748,2637,25000,2024-07-09,24
749,2824,10000,2024-06-18,12
750,1493,5000,2024-08-06,24
751,3317,10000,2024-02-03,12
752,6776,25000,2024-10-11,24
753,3903,15000,2024-02-05,12
754,4938,25000,2024-09-21,24
755,7418,5000,2024-12-06,24
756,4585,25000,2024-10-24,12
757,6395,10000,2024-08-15,36
758,8173,10000,2024-03-07,24
759,6458,25000,2024-01-07,24
760,3297,10000,2024-01-23,36
761,5785,10000,2024-01-23,24
762,7224,5000,2024-09-28,12
763,9716,5000,2024-03-09,12
764,8165,5000,2024-01-13,24
765,5561,15000,2024-09-22,24
766,975,15000,2024-09-04,12
767,6277,5000,2024-02-28,36
768,6225,25000,2024-09-14,24
769,6494,25000,2024-07-26,12
770,1671,25000,2024-05-08,36
771,7119,5000,2024-07-16,24
772,8185,15000,2024-11-05,24
773,5172,10000,2024-10-01,36
774,6638,25000,2024-04-06,24
775,4806,5000,2024-01-28,24
776,6762,5000,2024-05-12,12
777,2804,10000,2024-11-27,36
778,9724,15000,2024-10-01,24
779,3817,15000,2024-04-13,12
780,5134,5000,2024-02-11,24
781,4080,10000,2024-06-01,12
782,8076,15000,2024-10-17,24
783,8774,10000,2024-01-09,24
784,6263,10000,2024-08-11,24
785,7819,5000,2024-02-08,24
786,3558,10000,2024-02-07,24
787,7351,10000,2024-09-27,36
788,2383,10000,2024-04-18,36
789,5682,25000,2024-12-11,36
790,231,10000,2024-02-29,12
791,6455,10000,2024-03-02,36
792,1884,5000,2024-01-31,24
793,6032,15000,2024-01-30,24
794,8877,15000,2024-03-06,36
795,4177,10000,2024-09-19,12
796,9491,5000,2024-06-06,24
797,4484,5000,2024-06-09,12
798,4923,10000,2024-12-24,24
799,1369,10000,2024-04-20,12
800,2267,15000,2024-02-07,12
801,652,15000,2024-07-30,12
802,2111,15000,2024-05-16,24
803,3099,10000,2024-12-07,24
804,2756,15000,2024-06-06,36
805,7549,5000,2024-05-13,12
806,4049,25000,2024-07-07,12
807,1178,25000,2024-06-13,24
808,7750,25000,2024-03-19,12
809,9235,5000,2024-09-08,12
810,2557,25000,2024-07-24,24
811,6795,10000,2024-05-27,24
812,9816,10000,2024-10-12,24
813,7597,25000,2024-01-18,24
814,2085,25000,2024-07-09,24
815,2472,15000,2024-07-03,24
816,4779,5000,2024-08-04,12
817,2386,15000,2024-03-28,24
818,8158,5000,2024-04-04,36
819,9487,15000,2024-09-30,12
820,919,10000,2024-03-01,36
821,4748,5000,2024-03-22,24
822,9796,25000,2024-03-18,24
823,5737,5000,2024-07-14,12
824,5582,5000,2024-11-16,24
825,1082,15000,2024-02-09,12
826,8568,25000,2024-01-24,12
827,7867,15000,2024-06-08,24
828,7624,25000,2024-09-22,12
829,6551,15000,2024-05-16,12
830,9601,25000,2024-02-08,12
831,2104,5000,2024-04-17,24
832,5636,10000,2024-08-14,12
833,5917,25000,2024-03-09,36
834,8209,15000,2024-09-19,12
835,433,5000,2024-10-05,12
836,4051,15000,2024-12-10,24
837,237,5000,2024-01-17,12
838,307,5000,2024-11-29,24
839,5882,25000,2024-08-14,12
840,24,15000,2024-07-10,36
841,5420,5000,2024-11-16,24
842,9206,15000,2024-12-07,36
843,681,5000,2024-01-28,12
844,1516,25000,2024-11-09,36
845,952,10000,2024-08-02,12
846,5408,10000,2024-01-18,12
847,415,10000,2024-04-19,12
848,4849,10000,2024-04-30,12
849,9616,25000,2024-10-26,12
850,4512,25000,2024-03-04,12
851,4972,25000,2024-02-06,24
852,4986,15000,2024-01-03,12
853,7970,5000,2024-09-26,12
854,7651,5000,2024-05-14,12
855,5371,10000,2024-03-23,36
856,6522,10000,2024-07-25,36
857,5458,5000,2024-06-15,24
858,450,5000,2024-05-12,36
859,7329,5000,2024-03-19,24
860,8284,25000,2024-11-03,12
861,6629,25000,2024-04-18,12
862,7587,25000,2024-01-26,24
863,2952,10000,2024-06-15,24
864,3126,25000,2024-06-21,24
865,6745,5000,2024-11-28,12
866,1538,10000,2024-01-31,36
867,3169,10000,2024-05-30,12
868,5688,25000,2024-02-09,24
869,1896,10000,2024-10-14,12
870,7804,5000,2024-12-22,12
871,8377,10000,2024-09-16,12
872,1457,15000,2024-03-21,36
873,1495,5000,2024-12-05,36
874,5061,5000,2024-06-22,12
875,9341,25000,2024-03-15,12
876,9480,5000,2024-02-11,24
877,1751,5000,2024-04-06,12
878,9437,10000,2024-06-15,36
879,6488,15000,2024-07-16,36
880,174,10000,2024-04-12,12
881,4313,15000,2024-02-16,36
882,3278,5000,2024-06-14,36
883,2022,10000,2024-01-18,36
884,5699,10000,2024-01-02,12
885,1397,25000,2024-04-14,24
886,174,10000,2024-04-11,36
887,6222,15000,2024-06-30,24
888,7552,15000,2024-07-27,12
889,2247,5000,2024-12-09,24
890,6746,25000,2024-08-03,24
891,3079,25000,2024-09-16,24
892,3052,10000,2024-01-07,12
893,4730,5000,2024-07-25,12
894,1700,15000,2024-02-26,12
895,6669,25000,2024-01-30,12
896,9155,5000,2024-09-07,36
897,3092,10000,2024-08-08,12
898,3785,25000,2024-08-28,24
899,1845,10000,2024-06-20,24
900,6398,15000,2024-09-01,12
901,3252,15000,2024-07-23,36
902,7521,5000,2024-08-18,36
903,9943,10000,2024-12-11,12
904,893,5000,2024-02-05,36
905,8407,15000,2024-04-08,24
906,3430,25000,2024-09-14,36
907,6746,15000,2024-05-21,36
908,3645,5000,2024-07-26,12
909,5340,10000,2024-04-22,24
910,606,15000,2024-04-09,36
911,8744,5000,2024-04-13,36
912,4415,10000,2024-08-27,24
913,2514,5000,2024-08-28,36
914,7044,15000,2024-10-17,24
915,1178,10000,2024-05-28,36
916,5182,15000,2024-08-07,12
917,1484,15000,2024-03-22,36
918,3312,15000,2024-10-14,36
919,4286,15000,2024-05-30,36
920,7314,15000,2024-05-13,24
921,9738,5000,2024-10-11,24
922,9689,25000,2024-11-14,12
923,8265,25000,2024-08-12,12
924,5359,15000,2024-05-04,12
925,6560,15000,2024-04-05,12
926,1091,15000,2024-12-02,12
